"playerid","passyards","passattempts","passtd","passint"
"20020034",0,1,0,0
"20050003",17,1,0,0
"20000529",0,8,0,0
"19990460",-1,2,0,0
"20191173",45,10,1,1
"20040248",0,5,0,0
"20190166",362,47,1,4
"19930420",0,30,1,1
"20150146",12,1,0,0
"20110208",1169,144,5,3
"20120088",19545,2294,92,54
"19970478",14650,2855,125,95
"20090531",21,2,1,0
"19910407",0,43,0,2
"19940402",16163,2845,130,76
"20080404",50,4,0,0
"20090729",1957,229,5,5
"20090412",2,1,0,0
"20180584",199,24,0,0
"20060452",937,99,4,6
"19960402",5687,764,27,23
"20170119",51,4,2,0
"20070009",43,2,0,0
"20150729",180,20,0,0
"20180044",-4,1,0,0
"20160796",60,2,0,1
"20010605",4135,590,14,9
"20060586",654,62,3,5
"20080205",52,1,0,0
"20180726",12,1,0,1
"20010149",208,359,6,14
"19930419",862,367,10,13
"20180219",731,72,2,2
"20040126",-2,1,0,0
"20050213",19388,2193,79,80
"19940197",4926,1220,44,45
"20130008",11,1,0,0
"20160165",9,1,0,1
"20160690",639,73,3,2
"20040202",299,157,4,8
"20140833",40,4,0,0
"20100168",566,59,1,5
"20080162",825,68,5,0
"20100122",1847,216,7,9
"20180108",1036,104,5,3
"20150937",386,45,2,2
"20060164",245,34,1,0
"20030200",1341,546,13,12
"20080160",6201,700,23,20
"20130165",-3,2,0,0
"20070701",14854,1610,62,54
"20090501",19028,2094,69,50
"20040799",0,1,0,0
"20110001",44734,4739,209,130
"20130039",10193,1203,39,47
"20150627",2,1,1,0
"20060100",23,2,0,0
"20170012",13932,1504,79,36
"20100022",9,1,0,0
"20050627",30,2,0,0
"20120755",27,2,0,0
"20070151",563,80,2,2
"20090050",29,1,1,0
"20020065",6,1,0,0
"20090164",0,0,0,0
"20090554",14,2,0,1
"20170010",13921,1520,100,26
"20050069",4309,521,6,21
"20070776",9,1,0,0
"20160605",98,8,0,1
"20120689",3241,413,14,12
"20010074",0,1,0,0
"20180947",-1,1,0,0
"20120827",455,65,1,4
